sample_size,time,formula,num_items,seed,loss
30000,30.64827251434326,(user_latents|item) + (item_latents|constant),450,3,-158973.921875
30000,32.75967788696289,(user_latents|item) + (item_latents|constant),450,4,-158973.875
30000,33.62037777900696,(user_latents|item) + (item_latents|constant),500,0,-161148.03125
30000,34.03342127799988,(user_latents|item) + (item_latents|constant),500,1,-161148.078125
30000,34.3123037815094,(user_latents|item) + (item_latents|constant),500,2,-161148.03125
30000,33.62621593475342,(user_latents|item) + (item_latents|constant),500,3,-161148.0625
30000,35.026689291000366,(user_latents|item) + (item_latents|constant),500,4,-161148.09375
30000,4.610257148742676,(user_latents|item),10,0,-53739.0390625
30000,4.519160747528076,(user_latents|item),10,1,-53739.0546875
30000,4.628166913986206,(user_latents|item),10,2,-53739.046875
30000,4.8872761726379395,(user_latents|item),10,3,-53739.046875
30000,4.625990152359009,(user_latents|item),10,4,-53739.0390625
30000,4.454693794250488,(user_latents|item),20,0,-71760.40625
30000,4.431207895278931,(user_latents|item),20,1,-71760.40625
30000,4.481767892837524,(user_latents|item),20,2,-71760.40625
30000,4.426161050796509,(user_latents|item),20,3,-71760.40625
30000,4.49061918258667,(user_latents|item),20,4,-71760.390625
30000,4.776042222976685,(user_latents|item),50,0,-100113.8125
30000,4.757323741912842,(user_latents|item),50,1,-100113.8125
30000,4.728480100631714,(user_latents|item),50,2,-100113.8203125
30000,4.788233995437622,(user_latents|item),50,3,-100113.8125
30000,4.7424516677856445,(user_latents|item),50,4,-100113.8203125
30000,5.5312652587890625,(user_latents|item),100,0,-120172.71875
30000,5.8130388259887695,(user_latents|item),100,1,-120172.75
30000,5.463842153549194,(user_latents|item),100,2,-120172.734375
30000,5.4139487743377686,(user_latents|item),100,3,-120172.75
30000,5.505505800247192,(user_latents|item),100,4,-120172.7265625
30000,6.529377222061157,(user_latents|item),150,0,-130924.78125
30000,6.6019957065582275,(user_latents|item),150,1,-130924.765625
30000,6.520877838134766,(user_latents|item),150,2,-130924.78125
30000,6.473008871078491,(user_latents|item),150,3,-130924.78125
30000,6.5001139640808105,(user_latents|item),150,4,-130924.78125
30000,7.210792064666748,(user_latents|item),200,0,-138155.765625
30000,7.104729413986206,(user_latents|item),200,1,-138155.75
30000,7.082031011581421,(user_latents|item),200,2,-138155.8125
30000,7.15245795249939,(user_latents|item),200,3,-138155.71875
30000,7.19439697265625,(user_latents|item),200,4,-138155.6875
30000,8.016021966934204,(user_latents|item),250,0,-144494.46875
30000,8.044124841690063,(user_latents|item),250,1,-144494.4375
30000,8.008970737457275,(user_latents|item),250,2,-144494.484375
30000,8.243895053863525,(user_latents|item),250,3,-144494.34375
30000,8.068036317825317,(user_latents|item),250,4,-144494.453125
30000,9.368617534637451,(user_latents|item),300,0,-149008.484375
30000,9.184741973876953,(user_latents|item),300,1,-149008.5625
30000,9.339084386825562,(user_latents|item),300,2,-149008.484375
30000,9.236348867416382,(user_latents|item),300,3,-149008.53125
30000,9.202666759490967,(user_latents|item),300,4,-149008.546875
30000,9.920500993728638,(user_latents|item),350,0,-152987.03125
30000,9.88123369216919,(user_latents|item),350,1,-152987.03125
30000,9.935669183731079,(user_latents|item),350,2,-152987.0
30000,10.053542613983154,(user_latents|item),350,3,-152986.96875
30000,9.931154012680054,(user_latents|item),350,4,-152987.0625
30000,11.959357976913452,(user_latents|item),450,0,-159054.25
30000,12.123436212539673,(user_latents|item),450,1,-159054.21875
30000,11.834145307540894,(user_latents|item),450,2,-159054.28125
30000,12.031850814819336,(user_latents|item),450,3,-159054.25
30000,11.821772575378418,(user_latents|item),450,4,-159054.296875
30000,12.59835958480835,(user_latents|item),500,0,-161242.0
30000,12.818495988845825,(user_latents|item),500,1,-161242.015625
30000,12.534733057022095,(user_latents|item),500,2,-161242.0
30000,12.606644630432129,(user_latents|item),500,3,-161242.03125
30000,12.41099739074707,(user_latents|item),500,4,-161242.125
30000,4.929311513900757,(item_latents|constant),10,0,-68120.2890625
30000,4.93666410446167,(item_latents|constant),10,1,-68120.3046875
30000,4.899719715118408,(item_latents|constant),10,2,-68120.3125
30000,4.3152666091918945,(item_latents|constant),10,3,-68120.2890625
30000,5.093385457992554,(item_latents|constant),10,4,-68120.2734375
30000,5.354255437850952,(item_latents|constant),20,0,-88641.0625
30000,4.762198448181152,(item_latents|constant),20,1,-88641.109375
30000,4.962089538574219,(item_latents|constant),20,2,-88641.09375
30000,5.367431402206421,(item_latents|constant),20,3,-88641.09375
30000,4.667555332183838,(item_latents|constant),20,4,-88641.109375
