sample_size,time,formula,seed,loss
100000,216.56025004386902,(user_latents|item) + (item_latents|constant),4,-537871.625
200000,176.68319725990295,(user_latents|item) + (item_latents|constant),4,-1092295.5
1000,0.15003323554992676,(user_latents|item),4,-5258.7724609375
2000,0.21384310722351074,(user_latents|item),4,-10690.0791015625
3000,0.28620409965515137,(user_latents|item),4,-16104.169921875
5000,0.43015432357788086,(user_latents|item),4,-26721.41796875
7000,0.637556791305542,(user_latents|item),4,-37469.375
10000,3.5500221252441406,(user_latents|item),4,-53488.671875
30000,8.955778360366821,(user_latents|item),4,-161046.71875
50000,20.413508892059326,(user_latents|item),4,-268717.125
70000,34.983710289001465,(user_latents|item),4,-376193.71875
100000,85.69784498214722,(user_latents|item),4,-537782.0
200000,55.626970291137695,(user_latents|item),4,-1092653.25
1000,0.25492238998413086,(item_latents|constant),4,-5742.12109375
2000,0.3571321964263916,(item_latents|constant),4,-11519.0576171875
3000,0.4549129009246826,(item_latents|constant),4,-17309.44921875
5000,0.6228501796722412,(item_latents|constant),4,-29788.68359375
7000,0.7809042930603027,(item_latents|constant),4,-42488.203125
10000,1.1092286109924316,(item_latents|constant),4,-61103.359375
30000,3.4854657649993896,(item_latents|constant),4,-184347.75
50000,6.41649055480957,(item_latents|constant),4,-308973.5625
70000,8.871377944946289,(item_latents|constant),4,-433396.96875
100000,12.723774433135986,(item_latents|constant),4,-619439.125
200000,24.092536449432373,(item_latents|constant),4,-1240951.0
